Date,Open,High,Low,Close,Volume
2018-01-02,4.84138,4.93344,4.80971,4.92975,356569996
2018-01-03,5.04737,5.28502,5.03867,5.25437,920382381
2018-01-04,5.33582,5.39267,5.25977,5.28232,588501458
2018-01-05,5.29727,5.36449,5.2198,5.32734,583555647
2018-01-08,5.44995,5.56428,5.40534,5.48971,880552013
2018-01-09,5.49511,5.53504,5.40694,5.48811,501903974
2018-01-10,5.39636,5.53504,5.34182,5.53164,588085077
2018-01-11,5.56428,5.59546,5.51986,5.54163,409798752
2018-01-12,5.52965,5.56399,5.47342,5.51408,363403750
2018-01-16,5.54083,5.62612,5.35912,5.44287,697770829
2018-01-17,5.45743,5.56687,5.36429,5.5573,543235209
2018-01-18,5.53804,5.60464,5.50668,5.55063,411823099
2018-01-19,5.6406,5.71468,5.61363,5.6903,596494550
2018-01-22,5.69829,5.78058,5.6408,5.77888,555444994
2018-01-23,5.83232,5.93084,5.81382,5.90787,477741124
2018-01-24,5.91107,5.94712,5.77538,5.83112,586282160
2018-01-25,5.8859,5.92885,5.82982,5.84478,413374210
2018-01-26,5.8889,6.01804,5.87604,6.01784,520763019
2018-01-29,6.00305,6.13634,5.95012,6.10519,459399601
2018-01-30,5.96271,6.0945,5.8961,6.00265,575762313
2018-01-31,6.07822,6.1644,6.04556,6.07892,481926672
2018-02-01,5.8989,6.10649,5.8873,5.94742,521676049
2018-02-02,5.86105,5.8851,5.71668,5.77458,723636926
2018-02-05,5.61363,5.76788,5.06983,5.28502,1172541327
2018-02-06,5.05486,5.58117,5.04487,5.57817,1126982592
2018-02-07,5.67702,5.81052,5.60613,5.65835,810111898
2018-02-08,5.78358,5.81682,5.37918,5.37938,1113687989
2018-02-09,5.8921,5.90727,5.37938,5.73924,1691027393
2018-02-12,5.82032,5.82332,5.56498,5.6396,1102191657
2018-02-13,5.60264,5.79914,5.57017,5.75291,631597933
2018-02-14,5.71248,5.99936,5.70128,5.9704,751335265
2018-02-15,6.05376,6.14273,5.97288,6.0965,704779223
2018-02-16,6.06925,6.18237,6.02133,6.0306,644030681
2018-02-20,6.05296,6.22852,6.04926,6.1594,692872639
2018-02-21,6.22412,6.2305,5.9689,5.97268,853852814
2018-02-22,6.00664,6.07852,5.92625,5.99207,538907860
2018-02-23,6.05226,6.08591,6.00135,6.08591,418281253
2018-02-26,6.13236,6.13674,6.03956,6.10219,471990985
2018-02-27,6.07522,6.1592,6.06626,6.08921,460126544
2018-02-28,6.1002,6.13973,5.97687,5.98837,528502663
2018-03-01,5.98637,6.04026,5.64478,5.74592,1050831105
2018-03-02,5.6384,5.85975,5.48941,5.85328,922834786
2018-03-05,5.80312,5.87104,5.67901,5.83112,627169884
2018-03-06,5.91626,6.01184,5.87374,5.99237,643368314
2018-03-07,5.8896,6.03696,5.8883,5.98467,587194921
2018-03-08,6.01204,6.01204,5.92355,5.9681,416152771
2018-03-09,6.01584,6.08392,5.99966,6.07124,510732360
2018-03-12,6.11269,6.26026,6.10449,6.18037,611293234
2018-03-13,6.22312,6.29741,6.08871,6.13006,626155382
2018-03-14,6.17257,6.20015,6.0932,6.1552,510700523
2018-03-15,6.16858,6.25078,6.12836,6.16987,406093169
2018-03-16,6.18637,6.21712,6.14873,6.19836,403571321
2018-03-19,6.14173,6.17017,5.86475,5.96371,721124743
2018-03-20,5.96671,6.21452,5.96671,6.17587,560409142
2018-03-21,6.16937,6.2358,6.12057,6.15071,443206699
2018-03-22,6.08771,6.13435,5.94712,5.98487,556873563
2018-03-23,5.99836,6.00505,5.75361,5.76489,743194593
2018-03-26,5.8896,6.05126,5.8373,6.04996,617722685
2018-03-27,6.13106,6.18637,5.43988,5.58017,1423511791
2018-03-28,5.54633,5.67572,5.37009,5.47712,955647826
2018-03-29,5.54583,5.82732,5.46093,5.73067,926068064
2018-04-02,5.66005,5.80632,5.38238,5.46972,931589292
2018-04-03,5.6368,5.69968,5.47712,5.57617,674304297
2018-04-04,5.32085,5.60863,5.29569,5.59815,797294076
2018-04-05,5.65655,5.66932,5.40664,5.47792,708461040
2018-04-06,5.37578,5.48342,5.27253,5.30187,669816960
2018-04-09,5.36509,5.49241,5.31057,5.33053,504669465
2018-04-10,5.56079,5.66603,5.50339,5.6396,772628557
2018-04-11,5.62462,5.66533,5.56597,5.59815,463846117
2018-04-12,5.691,5.82312,5.64706,5.80532,600034765
2018-04-13,5.86904,5.87744,5.67971,5.72847,508216451
2018-04-16,5.73495,5.7616,5.6338,5.72827,354403898
2018-04-17,5.78038,5.8996,5.72467,5.87823,451831452
2018-04-18,5.82732,5.92005,5.75991,5.84908,395393003
2018-04-19,5.73425,5.76818,5.61213,5.66703,476858349
2018-04-20,5.65875,5.74323,5.62812,5.65935,390176069
2018-04-23,5.67672,5.72847,5.51388,5.54004,431911866
2018-04-24,5.56578,5.66105,5.40834,5.47342,418865664
2018-04-25,5.44346,5.48292,5.20413,5.36151,594554669
2018-04-26,5.52306,5.58087,5.45674,5.57287,379693537
2018-04-27,5.67851,5.69849,5.5583,5.60044,404978198
2018-04-30,5.61683,5.66603,5.54603,5.56528,331219117
2018-05-01,5.557,5.62312,5.4981,5.62062,256402950
2018-05-02,5.61713,5.66105,5.57367,5.59984,271010149
2018-05-03,5.6318,5.79155,5.58647,5.76539,447709539
2018-05-04,5.73645,5.91855,5.71928,5.91526,404787904
2018-05-07,6.02063,6.21053,6.01064,6.1536,694696948
2018-05-08,6.1539,6.19915,6.10549,6.19636,511832530
2018-05-09,6.21612,6.33104,6.18917,6.32904,602905293
2018-05-10,6.38218,6.44588,6.36421,6.4366,1004319290
2018-05-11,6.25477,6.4281,6.19985,6.29821,1226963961
2018-05-14,6.33604,6.39625,6.29501,6.31886,528526929
2018-05-15,6.25507,6.25777,5.97608,6.07672,973451819
2018-05-16,6.03826,6.14971,6.00106,6.08791,559532175
2018-05-17,6.08971,6.22332,6.07353,6.13006,525137468
2018-05-18,6.18157,6.24479,6.08122,6.08621,488699525
2018-05-21,6.18337,6.18717,5.95092,6.04396,647222658
2018-05-22,6.05756,6.08272,5.94492,6.00584,523603111
2018-05-23,5.94942,6.13076,5.94872,6.12956,447242453
2018-05-24,6.12577,6.17517,6.07253,6.13335,441603159
2018-05-25,6.14553,6.18857,6.11049,6.17217,294937397
2018-05-29,6.1542,6.22332,6.10889,6.1552,356095439
2018-05-30,6.18887,6.27272,6.1642,6.26406,394777376
2018-05-31,6.2323,6.31886,6.22152,6.24429,498646319
2018-06-01,6.28901,6.38477,6.28042,6.37878,426052374
2018-06-04,6.41273,6.57959,6.38078,6.55811,648236910
2018-06-05,6.5614,6.60077,6.51616,6.5636,395501795
2018-06-06,6.47284,6.5684,6.45637,6.5656,374946963
2018-06-07,6.5618,6.57339,6.41893,6.50957,373022916
2018-06-08,6.4364,6.53685,6.41763,6.49402,363944977
2018-06-11,6.48134,6.52315,6.43989,6.45287,267937480
2018-06-12,6.47934,6.51367,6.4289,6.5016,322247156
2018-06-13,6.50299,6.57809,6.48783,6.49701,341478426
2018-06-14,6.54242,6.66525,6.52745,6.60874,434176621
2018-06-15,6.55181,6.623,6.52045,6.5681,436441387
2018-06-18,6.52385,6.58109,6.49661,6.5641,359713721
2018-06-19,6.46016,6.52785,6.31426,6.44169,600688720
2018-06-20,6.48284,6.54811,6.44438,6.49482,373357284
2018-06-21,6.52685,6.54541,6.35821,6.36601,362994320
2018-06-22,6.38666,6.40015,6.19836,6.21352,438358504
2018-06-25,6.10769,6.11149,5.83212,5.92055,672258789
2018-06-26,6.03459,6.08272,5.94022,5.99187,483518544
2018-06-27,6.03577,6.10219,5.83112,5.8365,458283357
2018-06-28,5.82652,5.97588,5.81912,5.96391,341282043
2018-06-29,6.0293,6.04176,5.86475,5.86605,396094419
2018-07-02,5.79614,6.00185,5.77558,5.99806,361033318
2018-07-03,6.03299,6.03876,5.85607,5.86445,224887894
2018-07-05,5.91925,6.01534,5.88092,6.01034,309180433
2018-07-06,5.98587,6.13276,5.96441,6.12437,299219999
2018-07-09,6.19836,6.20784,6.0932,6.17137,306820877
2018-07-10,6.18387,6.29241,6.14353,6.27043,363498552
2018-07-11,6.17757,6.21233,6.11857,6.12936,371061943
2018-07-12,6.17417,6.26845,6.1642,6.22052,348849591
2018-07-13,6.23929,6.23929,6.13156,6.17317,249554374
2018-07-16,6.14553,6.19855,6.13355,6.14553,198943229
2018-07-17,6.0967,6.29641,6.07124,6.28122,365639322
2018-07-18,6.27402,6.28771,6.18117,6.2323,280327714
2018-07-19,6.21332,6.27402,6.19836,6.24049,238032163
2018-07-20,6.23809,6.27672,6.20135,6.21213,224638863
2018-07-23,6.18557,6.18737,6.02401,6.17537,304502512
2018-07-24,6.22352,6.31018,6.14103,6.1579,358052596
2018-07-25,6.16739,6.24908,6.11019,6.23649,323279625
2018-07-26,6.21632,6.34653,6.19955,6.30998,328270623
2018-07-27,6.34623,6.35322,6.18617,6.24029,298279538
2018-07-30,6.25407,6.26006,6.01004,6.04496,343634269
2018-07-31,6.03477,6.13803,5.99566,6.06326,286735283
2018-08-01,6.0947,6.14951,6.03876,6.10319,286298863
2018-08-02,6.03179,6.20933,5.97268,6.20554,272276516
2018-08-03,6.2301,6.26576,6.21312,6.24209,216361207
2018-08-06,6.22951,6.29321,6.18287,6.28971,209514133
2018-08-07,6.33823,6.38078,6.31198,6.36201,260627706
2018-08-08,6.36321,6.44338,6.32824,6.39845,264634187
2018-08-09,6.41613,6.41893,6.34203,6.34982,206254786
2018-08-10,6.26805,6.34083,6.25677,6.30868,259109463
2018-08-13,6.31726,6.46206,6.31556,6.34123,378836339
2018-08-14,6.44688,6.48704,6.36381,6.47284,470729936
2018-08-15,6.49382,6.52765,6.33584,6.41463,596854766
2018-08-16,6.48464,6.48704,6.31416,6.37418,809010897
2018-08-17,6.26276,6.26346,6.03527,6.06226,1154247674
2018-08-20,6.02163,6.26924,5.91057,6.13703,862652077
2018-08-21,6.1529,6.27672,6.13355,6.27222,680509064
2018-08-22,6.23979,6.51247,6.2363,6.50757,757111413
2018-08-23,6.46865,6.67225,6.45487,6.60704,727656947
2018-08-24,6.61553,6.75511,6.61104,6.74043,536652689
2018-08-27,6.77029,6.90569,6.73873,6.83181,510670618
2018-08-28,6.82602,6.84879,6.67345,6.79426,479983025
2018-08-29,6.78656,6.92385,6.7656,6.8991,423942159
2018-08-30,6.86796,6.97917,6.84599,6.88212,349771224
2018-08-31,6.86276,6.96622,6.85299,6.95323,309386871
2018-09-04,6.93994,7.06636,6.91168,7.02861,395294587
2018-09-05,7.01083,7.04658,6.81702,6.8974,396743396
2018-09-06,6.88092,6.88342,6.72357,6.75661,325740332
2018-09-07,6.66395,6.86096,6.61952,6.73535,298113741
2018-09-10,6.7579,6.83621,6.71388,6.80685,222146539
2018-09-11,6.7601,6.84799,6.73923,6.7586,245330529
2018-09-12,6.71858,6.73833,6.48863,6.64427,422913546
2018-09-13,6.7104,6.81353,6.69292,6.72237,308322825
2018-09-14,6.81323,6.91407,6.77608,6.84879,390465139
2018-09-17,6.82352,6.87146,6.76729,6.78686,207402526
2018-09-18,6.79086,6.89292,6.7076,6.71438,302253350
2018-09-19,6.69562,6.75611,6.64547,6.73833,226909867
2018-09-20,6.61602,6.65826,6.54282,6.59677,434510839
2018-09-21,6.60874,6.65426,6.49332,6.52665,439095742
2018-09-24,6.49562,6.58578,6.40843,6.58238,296594306
2018-09-25,6.64847,6.67444,6.5631,6.64947,282947739
